possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8302165#Color ID:476358#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8302167#Color ID:476360#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8302168#Color ID:476361#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302165#Color ID:476358#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302167#Color ID:476360#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302168#Color ID:476361#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:141182#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:353157#Price:$15.00', u'Product ID:8299797#Color ID:475333#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302165#Color ID:476358#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302167#Color ID:476360#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8302168#Color ID:476361#Price:$69.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:141182#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482476#Price:$15.00', u'Product ID:8299797#Color ID:475333#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:141182#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299767#Color ID:238#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:475333#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299797#Color ID:141182#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
possible combinations([u'Product ID:8436250#Color ID:482488#Price:$15.00', u'Product ID:8299797#Color ID:475333#Price:$45.00', u'Product ID:8299797#Color ID:94695#Price:$45.00'])
